iter	MultiClass	F1:use_weights=true;class=0	F1:use_weights=true;class=1	F1:use_weights=true;class=2	F1:use_weights=true;class=3	F1:use_weights=false;class=0	F1:use_weights=false;class=1	F1:use_weights=false;class=2	F1:use_weights=false;class=3	Accuracy:use_weights=true	Accuracy:use_weights=false
16	1.089175636	0.3932139915	0.6148191443	0.7010236579	0.4058827026	0.3912863071	0.6151672994	0.7023725212	0.4071069118	0.5384118523	0.539
17	1.082284894	0.3972886517	0.6168185911	0.7047244016	0.40780744	0.3953344344	0.6171640473	0.7060700044	0.4090299969	0.5412352567	0.5418095238
18	1.075526922	0.3969565109	0.617985622	0.7068287968	0.4096568291	0.3950030973	0.6183327446	0.7081705151	0.4108941418	0.5422752682	0.5428571429
19	1.069484464	0.3950447666	0.6185650277	0.7060876	0.4105335201	0.3930970342	0.6189086407	0.7074444543	0.4117707583	0.5421711426	0.5427619048
20	1.063191054	0.4003508987	0.6218757321	0.71000514	0.4125511978	0.3983899267	0.6222104145	0.7113475177	0.4138001848	0.5456087156	0.5461904762
21	1.057145436	0.3995007628	0.6284678476	0.7105924588	0.4180485251	0.3975554174	0.6287992911	0.7119483506	0.4193151528	0.5487745887	0.5493809524
22	1.05206924	0.4025318233	0.6337371753	0.7128085343	0.4202138723	0.4005793503	0.6340512275	0.714159292	0.4214952313	0.5519190452	0.5525238095
23	1.046396222	0.4020651211	0.6363681079	0.7134083136	0.4260048567	0.4001245201	0.6366868112	0.7147656941	0.4273033364	0.5539469043	0.5545714286
24	1.042042104	0.4035271258	0.6386609922	0.7142765089	0.4263655239	0.4015723596	0.6389753624	0.7156288806	0.4276691117	0.5549057529	0.5555238095
25	1.036916123	0.4066775144	0.6402898527	0.717029671	0.4296443884	0.4047224524	0.6406041759	0.7183846971	0.4309482495	0.5577619942	0.5583809524
26	1.03275069	0.4097493039	0.6427915294	0.7180078707	0.4315825892	0.4077951695	0.6430919591	0.7193619849	0.4328951391	0.5598111449	0.5604285714
27	1.027852847	0.4087176529	0.6417476929	0.7172301677	0.4316676344	0.4067726187	0.6420500044	0.7185894028	0.432981316	0.5590431749	0.5596666667
28	1.023519244	0.4139492206	0.6417371944	0.7202085036	0.4363882431	0.412016272	0.6420368557	0.7215727949	0.4377022654	0.5621841572	0.5628095238
29	1.019633629	0.4144633808	0.6429730369	0.7216881617	0.4385893081	0.4125168936	0.6432717207	0.7230496454	0.4399111291	0.5632807664	0.5639047619
30	1.015344967	0.4172611401	0.6454792514	0.7228294253	0.4373151076	0.4153141906	0.6457607433	0.7241959777	0.4386354461	0.5646202194	0.5652380952
31	1.011207443	0.4186563131	0.6469324855	0.7232273512	0.4392181072	0.4167012879	0.6472162741	0.7245939469	0.4405375366	0.5658136069	0.5664285714
32	1.0078049	0.4171713799	0.6504362846	0.7237575066	0.4382008755	0.4152198773	0.6507100116	0.7251285689	0.439531597	0.5663288348	0.566952381
33	1.004574345	0.4197616536	0.6494851695	0.725287115	0.440137782	0.4178110695	0.649763414	0.7266601649	0.4414614453	0.5675701355	0.5681904762
34	1.001549469	0.4193459866	0.6498447442	0.7245982798	0.4425747549	0.4173840888	0.6501254031	0.7259653795	0.4439073515	0.567665482	0.5682857143
35	0.9984530978	0.4199476541	0.6516998651	0.7268236042	0.4441949723	0.4179910668	0.6519752755	0.7281932848	0.4455385852	0.5692295306	0.5698571429
36	0.9952343192	0.4239532322	0.6542493083	0.7265113071	0.4466129673	0.4219784768	0.6545095221	0.727871772	0.4479647082	0.5709571227	0.5715714286
37	0.9920709981	0.425281743	0.6558245355	0.7279177686	0.4474748203	0.4233078038	0.6560732561	0.729281768	0.4488323143	0.5722425741	0.5728571429
38	0.9894661844	0.4235765604	0.6547343068	0.7284899245	0.4495892073	0.4216216216	0.6549896703	0.7298595056	0.4509549045	0.5723686017	0.573
39	0.9866847249	0.4258192726	0.6579048357	0.7280323749	0.452622858	0.4238700271	0.6581573034	0.7294034091	0.4539914077	0.5744122218	0.575047619
40	0.984245149	0.4262454593	0.6580920578	0.7284843737	0.4536838775	0.4242992602	0.6583438117	0.7298569779	0.4550539353	0.5749340875	0.5755714286
41	0.9816534533	0.4286501728	0.6579082575	0.7304809454	0.4537064943	0.4266972095	0.6581641818	0.7318589573	0.455063481	0.5759891602	0.5766190476
42	0.9795111492	0.4322380049	0.6582022937	0.7319975582	0.4550698611	0.4302566225	0.6584598796	0.733363029	0.4564215588	0.5773420443	0.577952381
43	0.9773114939	0.4342792598	0.6572497118	0.7335729088	0.45364219	0.4323035455	0.6575071839	0.7349301042	0.4549914889	0.5777276569	0.5783333333
44	0.9750534324	0.4343961156	0.6582058617	0.7332074502	0.4563187388	0.4324212272	0.6584643018	0.7345629511	0.4576746048	0.5784853048	0.5790952381
45	0.972977384	0.4360563262	0.6589798143	0.7355085411	0.4547020794	0.4340716208	0.6592339507	0.7368608587	0.4560560561	0.5792551576	0.5798571429
46	0.9710627372	0.4370151637	0.6598078505	0.7356704955	0.4574030423	0.4350253282	0.6600648181	0.7370297736	0.4587541246	0.5802548458	0.5808571429
47	0.969147652	0.4369682515	0.6607754403	0.7354182563	0.4560904177	0.4349710983	0.6610352265	0.7367763803	0.4574350747	0.5801644445	0.5807619048
48	0.9673082584	0.4381017864	0.6634149449	0.735660226	0.457938122	0.436101083	0.6636698732	0.7370205174	0.4592860008	0.581592398	0.5821904762
49	0.9651167606	0.4384920766	0.6631753704	0.7375544785	0.4595987501	0.436498915	0.6634304207	0.738917135	0.4609531438	0.5825380536	0.5831428571
50	0.9632459831	0.439173297	0.6649135464	0.7378087559	0.4626497211	0.4371833316	0.6651661115	0.7391691924	0.4640143942	0.5839128842	0.5845238095
51	0.9615467507	0.4417181562	0.6662374173	0.7387811162	0.4637391192	0.4397192403	0.6664866811	0.7401321665	0.4651069786	0.5852538841	0.5858571429
52	0.9600291369	0.4414580933	0.6659356375	0.7396271314	0.4650586684	0.4394628099	0.6661865322	0.7409853624	0.4664268585	0.5856773149	0.5862857143
53	0.9585293641	0.4419613444	0.666117912	0.7396020051	0.4663632111	0.4399669353	0.6663662581	0.7409590142	0.4677371098	0.586056801	0.5866666667
54	0.956569371	0.4448018866	0.667737537	0.7407820883	0.4678469763	0.4427952999	0.66798775	0.7421372409	0.4692123151	0.5877804372	0.5883809524
55	0.9549492227	0.445605942	0.6689414397	0.7412103456	0.4676802365	0.4435974039	0.6691885076	0.7425609865	0.4690469047	0.5883543321	0.588952381
56	0.9532539836	0.4463246118	0.6691253117	0.7420779721	0.4677154673	0.4443073126	0.6693701	0.7434292866	0.4690814489	0.5887398801	0.5893333333
57	0.9512632561	0.4457768741	0.6682870568	0.7417808565	0.4675632146	0.4437589965	0.6685307116	0.74313322	0.4689310689	0.5881682432	0.5887619048
58	0.949870806	0.4478106169	0.6708140901	0.7425627018	0.4703212504	0.4457930467	0.6710561919	0.7439155333	0.4716924613	0.5901663612	0.5907619048
59	0.9483320637	0.4474024632	0.6706341871	0.7423343323	0.4690771108	0.445380742	0.6708758005	0.7436861902	0.4704472843	0.5895978097	0.5901904762
60	0.9468545455	0.4490008264	0.6741408266	0.7430771895	0.4704912068	0.4469813843	0.6743724038	0.7444315234	0.471867518	0.5914521268	0.592047619
61	0.9457958508	0.4502586747	0.6757008912	0.7438097653	0.4719328169	0.4482333607	0.6759317751	0.7451612903	0.4733113838	0.5925972605	0.5931904762
62	0.944463558	0.4488873229	0.6758259604	0.7443663038	0.4722019198	0.4468653649	0.6760537955	0.7457201757	0.4735897947	0.5924951952	0.5930952381
63	0.9430624488	0.4497780103	0.676713808	0.7439000464	0.4734769145	0.4477581242	0.6769480519	0.7452525976	0.4748603352	0.5932088405	0.5938095238
64	0.9416878085	0.4496871477	0.6767276294	0.7438095388	0.4738650254	0.4476660498	0.6769619796	0.7451612903	0.475251469	0.5931603965	0.5937619048
65	0.9402776326	0.4501201548	0.6761323263	0.7443479944	0.473928793	0.4481020471	0.6763616656	0.7456989247	0.4753184713	0.5932558286	0.5938571429
66	0.9389121739	0.4503033176	0.6772001371	0.7448183644	0.4758211006	0.4482865082	0.6774368231	0.7461669506	0.4772139303	0.594155883	0.5947619048
67	0.9377430896	0.4523585315	0.6772673235	0.7452175616	0.4753864451	0.4503284072	0.6774979691	0.7465685835	0.4767696909	0.5945971698	0.5951904762
68	0.9363867218	0.4544942428	0.6774676546	0.7456913922	0.4760039796	0.4524516327	0.6776964108	0.7470355731	0.4773859335	0.5952263156	0.5958095238
69	0.9349281739	0.4540181455	0.6783545484	0.7468085926	0.4767438347	0.4519762441	0.6785875553	0.748157469	0.4781265571	0.5958403527	0.5964285714
70	0.9336896579	0.4555684639	0.6780606463	0.7467662098	0.4782978788	0.4535300748	0.6782907218	0.7481135465	0.4796812749	0.5965081982	0.5970952381
71	0.9323729564	0.4557033863	0.6792845185	0.7479254728	0.4788457317	0.4536610343	0.6795080485	0.7492816092	0.4802310527	0.597268718	0.5978571429
72	0.9314198115	0.4561091202	0.6794658585	0.7484433372	0.4784983269	0.4540617966	0.6796924469	0.7497978618	0.4798804781	0.5974146813	0.598
73	0.930352803	0.4565744432	0.6794567028	0.7497282347	0.4805533806	0.4545361353	0.679688913	0.7510775862	0.4819420953	0.5984076137	0.599
74	0.9293253618	0.4571377178	0.6797087874	0.7505878114	0.4806115314	0.4550947261	0.6799384671	0.7519324106	0.4820043746	0.5987435715	0.5993333333
75	0.9285177211	0.4571483861	0.6798850563	0.7497744936	0.4799742672	0.4551143942	0.6801084991	0.7511230907	0.4813673855	0.5985033239	0.5990952381
76	0.9276541595	0.4567726957	0.6803699623	0.749485555	0.4811102884	0.4547316673	0.6805970149	0.7508317597	0.4825049702	0.5986464709	0.5992380952
77	0.9267641611	0.4595336769	0.6795402769	0.7507017232	0.4807656694	0.4574816026	0.6797681579	0.7520460473	0.482148185	0.5992311653	0.5998095238
78	0.9256168033	0.4597763231	0.6805693053	0.751334246	0.4818087231	0.4577205882	0.6807932627	0.752678491	0.4831974548	0.5998970221	0.6004761905
79	0.9244440083	0.4596153034	0.6815031546	0.751562358	0.4823527397	0.4575698639	0.6817318991	0.7529030516	0.4837458992	0.6004136819	0.601
80	0.923698278	0.4613649261	0.6812157597	0.7519583691	0.4809113346	0.4593076687	0.6814439519	0.7532888809	0.4822991249	0.6003789177	0.600952381
81	0.9223089963	0.461615174	0.6818302278	0.752360851	0.481713855	0.4595588235	0.682048498	0.7536963577	0.4831081081	0.600853327	0.6014285714
82	0.9214042531	0.4626085481	0.6830553757	0.7527078654	0.4817778056	0.4605491477	0.6832714428	0.7540362587	0.4831761787	0.6014272115	0.602
83	0.9206494751	0.4628485541	0.6836668812	0.7526375539	0.4820196027	0.4607853136	0.6838814895	0.753968254	0.4834160874	0.6016669398	0.6022380952
84	0.9198283829	0.4627848299	0.6839082813	0.7538245244	0.4826574522	0.4607223016	0.6841246829	0.755159052	0.4840536513	0.6022353672	0.6028095238
85	0.9188176748	0.4630347918	0.6849958497	0.7531668524	0.4834995457	0.4609733701	0.6852069934	0.7545061283	0.4848966614	0.602615151	0.6031904762
86	0.9177260443	0.4640040357	0.6855985038	0.7540482784	0.4852094241	0.4619470835	0.6858126472	0.7553872509	0.4866097996	0.6036112915	0.6041904762
87	0.9169804736	0.4647618219	0.6863459572	0.7538514375	0.4858617326	0.4627002755	0.6865590423	0.755186722	0.4872633561	0.6039950003	0.6045714286
88	0.9162371271	0.4658319416	0.6850286435	0.753427962	0.4859207829	0.4637651616	0.6852423307	0.75476126	0.4873166865	0.6037165798	0.6042857143
89	0.9154692791	0.46449836	0.6855711209	0.7531528442	0.4862124976	0.46243246	0.6857868942	0.7544888568	0.4876114965	0.6035683405	0.6041428571
90	0.9149905742	0.4649231871	0.6846727589	0.7539629427	0.4863114303	0.4628553959	0.6848892118	0.7552989988	0.4877081681	0.6036657538	0.6042380952
91	0.9140136201	0.4658462345	0.6857607663	0.7544165213	0.4871133223	0.4637829014	0.6859736723	0.7557520527	0.4885148515	0.6044730205	0.605047619
92	0.9131247048	0.4665682988	0.6862579995	0.754803833	0.4876114706	0.464504284	0.6864668483	0.7561371841	0.4890164259	0.6049502086	0.6055238095
93	0.9123913178	0.4673994536	0.6866833565	0.7545349423	0.4891472019	0.4653344209	0.6868925425	0.7558685446	0.4905511032	0.6055224425	0.6060952381
94	0.9118399866	0.4676042363	0.6859015497	0.7542210637	0.4884040565	0.4655330414	0.6861088398	0.7555555556	0.4898039992	0.6050519132	0.6056190476
95	0.9108775661	0.4682314124	0.687677874	0.7546048128	0.4900851685	0.4661577608	0.6878865042	0.7559367946	0.4914885194	0.6061452527	0.6067142857
96	0.9099475621	0.4693090659	0.6874518255	0.7545945712	0.491225634	0.4672289401	0.6876592647	0.7559211716	0.4926303294	0.6064836106	0.607047619
97	0.9092842928	0.4686056966	0.6890921095	0.7544456987	0.4918114232	0.4665244336	0.6892974154	0.7557803468	0.4932158067	0.6069082981	0.6074761905
98	0.90854977	0.4687309252	0.6880016297	0.7543174318	0.4920188847	0.466653111	0.6882111971	0.7556479306	0.4934243053	0.6066219095	0.6071904762
99	0.9075962871	0.4706059646	0.6881448395	0.7548586396	0.4914288932	0.4685215272	0.6883483648	0.7561901319	0.4928281729	0.6070594764	0.6076190476
100	0.9069099246	0.4714839784	0.6888682192	0.7551966829	0.4928133748	0.4694043505	0.6890710383	0.7565272382	0.4942153664	0.6079140558	0.6084761905
101	0.9060270897	0.474036698	0.6891051016	0.7555945306	0.4934530825	0.4719488688	0.6893035958	0.7569180684	0.4948514851	0.6087821158	0.6093333333
102	0.9050096197	0.474041908	0.6885584708	0.7555739747	0.4918132743	0.4719465262	0.6887513651	0.7568985796	0.4932077343	0.608217823	0.6087619048
103	0.9044072131	0.4740896703	0.6902131533	0.7559373218	0.4924549579	0.471994328	0.6904024768	0.7572604723	0.49385652	0.6088814218	0.6094285714
104	0.9035084817	0.4733609276	0.6901720303	0.7556918177	0.4911153005	0.4712678626	0.6903636364	0.7570161144	0.4925151185	0.6083565812	0.6089047619
105	0.9024988091	0.4736907647	0.6906975681	0.7547454561	0.4915090709	0.4715874621	0.6908859146	0.7560666425	0.4929088565	0.6083146179	0.6088571429
106	0.9018100173	0.474927044	0.6905818923	0.7558720839	0.4923631717	0.472826637	0.6907732945	0.7571971754	0.4937586685	0.6090761133	0.6096190476
107	0.900917949	0.4743327049	0.6914252162	0.7556682378	0.4935521773	0.4722306525	0.6916211293	0.7569966489	0.4949474936	0.6093582237	0.6099047619
108	0.9001040401	0.4741697593	0.6925730094	0.7562589912	0.492702675	0.4720622411	0.6927628584	0.757589488	0.4940989785	0.6095508203	0.6100952381
109	0.8994262449	0.4753351637	0.6927855126	0.7560769058	0.493553018	0.4732269145	0.6929736626	0.7574082465	0.4949474936	0.6099816803	0.6105238095
110	0.8985552858	0.4781031408	0.6938029245	0.7561151499	0.4946424523	0.4759887006	0.693989071	0.7574383164	0.4960333201	0.6111339756	0.6116666667
111	0.897829919	0.4784700483	0.6935115859	0.7564987129	0.4947390835	0.476353736	0.6936953353	0.757820292	0.4961301846	0.6112789889	0.6118095238
112	0.8969950255	0.4779965361	0.693553132	0.7562301297	0.4948412318	0.4758829465	0.6937437392	0.7575510204	0.4962316541	0.6111330075	0.6116666667
113	0.8961269232	0.4788498796	0.6940069968	0.7568677742	0.4949403267	0.4767277856	0.6941937836	0.7581889121	0.4963300932	0.6115666568	0.6120952381
114	0.8953557469	0.4804711351	0.6936603245	0.7567390641	0.4956858553	0.4783484391	0.693847834	0.7580571947	0.4970696335	0.6120485329	0.6125714286
115	0.8948084683	0.4799145621	0.6945263317	0.7565312931	0.497173918	0.4777923255	0.6947176685	0.7578507896	0.4985605083	0.6124242827	0.612952381
116	0.8942912636	0.4806350845	0.6945178528	0.7568785831	0.4975715216	0.4785103171	0.6947100064	0.7581948606	0.4989571954	0.6127603931	0.6132857143
117	0.893683728	0.4817466371	0.6948366916	0.7574790583	0.4987088962	0.4796216162	0.6950264165	0.758789861	0.500099226	0.6134758476	0.614
118	0.8930313752	0.4815353853	0.6946379748	0.7574520226	0.4981656123	0.4794120608	0.694828842	0.7587647593	0.4995532612	0.6132850466	0.6138095238
119	0.8922735806	0.4819108464	0.6959336036	0.7578429905	0.4992067205	0.4797827399	0.6961275626	0.7591532661	0.5005954744	0.6139991932	0.6145238095
120	0.8916794104	0.4836739537	0.6957412865	0.7585317733	0.4993101433	0.4815448054	0.6959373292	0.759836438	0.5006948581	0.614576036	0.6150952381
121	0.8910469325	0.4849147967	0.6959777125	0.7584534841	0.5006060932	0.4827793955	0.6961748634	0.7597562085	0.5019864919	0.6151528143	0.6156666667
122	0.8903361928	0.4832319285	0.6964470039	0.7574851366	0.4995603143	0.4810913833	0.6966353606	0.7587962542	0.5009438649	0.614342106	0.6148571429
123	0.8895167619	0.4852862744	0.6968841092	0.7578519311	0.5003083414	0.4831460674	0.6970719694	0.7591599236	0.5016881827	0.6152036854	0.6157142857
124	0.8887051724	0.4860880582	0.6971874701	0.7582509933	0.5015914764	0.4839486356	0.6973732215	0.7595558791	0.5029761905	0.6158224075	0.6163333333
125	0.8884824431	0.4867543652	0.6979239316	0.7585466568	0.501195667	0.4846115288	0.6981028822	0.7598507599	0.5025814138	0.6161593439	0.6166666667
126	0.8876456363	0.4873401301	0.6982137388	0.7591804002	0.5025847044	0.4852011638	0.6983953319	0.7604839443	0.5039714059	0.6169183748	0.6174285714
127	0.8870277445	0.4888002854	0.6991578434	0.7609412317	0.5039123772	0.4866599799	0.6993338808	0.7622428545	0.5053049083	0.6182046672	0.6187142857
128	0.8862950418	0.4882255071	0.6997569173	0.7612529304	0.50405474	0.4860901878	0.6999361372	0.7625545852	0.5054509415	0.6183893123	0.6189047619
129	0.8856499327	0.4890431654	0.6994775831	0.7616025091	0.5030638081	0.4869041646	0.6996530948	0.762901611	0.5044580939	0.6182999392	0.6188095238
130	0.8851579234	0.4891538025	0.7002530276	0.7608987171	0.5038623546	0.4870123358	0.7004288712	0.762199563	0.5052548086	0.6185384837	0.619047619
131	0.8846619007	0.4886492009	0.7002455882	0.7613323701	0.5028684775	0.4865081753	0.7004196315	0.7626331603	0.5042633353	0.6182995814	0.6188095238
132	0.8840181318	0.4895831438	0.7005234213	0.761234056	0.5022249038	0.4874336638	0.7006939372	0.7625296155	0.5036185189	0.6183073699	0.6188095238
133	0.8834917916	0.4897757095	0.7007504106	0.7613467359	0.5035130292	0.4876289692	0.7009217852	0.762642369	0.5049082796	0.6187809727	0.6192857143
134	0.8828297661	0.491197585	0.7010457029	0.7621309514	0.5040696609	0.4890445223	0.7012228509	0.7634241955	0.505457432	0.6195008295	0.62
135	0.8820004833	0.4916941837	0.7006174664	0.7621558051	0.5040048449	0.4895426799	0.7007859623	0.7634506657	0.5053965739	0.6194067309	0.6199047619
136	0.8811072608	0.4922404412	0.7006524748	0.7616801456	0.5029573582	0.4900900901	0.7008140492	0.7629730962	0.5043512658	0.6191239201	0.6196190476
137	0.8805290993	0.4915373236	0.7003619416	0.7616926214	0.502511117	0.4893872647	0.7005215482	0.7629899727	0.5039058637	0.6187888048	0.6192857143
138	0.8798580131	0.4920462632	0.7005924518	0.7616120732	0.5037643997	0.4898939364	0.7007593084	0.7629110119	0.5051505547	0.6193137905	0.6198095238
139	0.87929233	0.4918950486	0.7007015262	0.762114574	0.5036157141	0.48974282	0.70086877	0.763414412	0.5050024765	0.6194080672	0.6199047619
140	0.8787480058	0.4913368821	0.7017000942	0.7622531931	0.5042949273	0.4891870244	0.7018667643	0.7635535308	0.5056880008	0.619688412	0.6201904762
141	0.8781857589	0.4930852457	0.7013239591	0.7627071869	0.5041047524	0.4909364046	0.7014911719	0.7640040077	0.5054923305	0.6201224025	0.6206190476
142	0.8775922919	0.4936588698	0.7016974506	0.7628988309	0.504410442	0.4915016997	0.7018667643	0.7641965181	0.5057926527	0.6204128312	0.6209047619
143	0.8769472515	0.4939080169	0.7020071226	0.764109593	0.5041102975	0.4917508249	0.7021782903	0.7654028436	0.5054945055	0.6207935221	0.6212857143
144	0.876511008	0.494458043	0.7019433427	0.7634081293	0.5050509758	0.4923015397	0.7021140295	0.7647005196	0.5064343694	0.6209374847	0.6214285714
145	0.8759201055	0.4945120633	0.7020554661	0.7635756766	0.5039625952	0.4923538231	0.7022230354	0.7648668369	0.5053465347	0.6207494354	0.6212380952
146	0.875166923	0.4960671056	0.7013399326	0.764940523	0.5045138689	0.4939060939	0.7015102975	0.7662290299	0.5058928395	0.6214209218	0.6219047619
147	0.8746455951	0.495560947	0.7015053418	0.7652051956	0.504909158	0.4934026389	0.7016741378	0.7664965366	0.5062914892	0.6215598942	0.622047619
148	0.8742915524	0.4967750411	0.7018736227	0.7654467449	0.5059445404	0.4946107784	0.7020400695	0.7667305761	0.5073296355	0.6221365019	0.6226190476
149	0.8735966919	0.4970038608	0.7018691958	0.7650149278	0.5071762493	0.4948494849	0.7020400695	0.7662988967	0.5085618133	0.6224641684	0.622952381
150	0.872836595	0.4973699659	0.7013845565	0.7648874338	0.5068923172	0.4952076677	0.7015553522	0.7661709698	0.5082730605	0.6222798556	0.6227619048
151	0.8723333885	0.4986685952	0.7017239131	0.765918047	0.5082050388	0.4965062887	0.701895778	0.767193351	0.5095906664	0.6231378482	0.6236190476
152	0.8715944209	0.4993349583	0.7013401004	0.7655375993	0.5074431359	0.4971616373	0.7015102975	0.7668128655	0.5088206145	0.6229094862	0.6233809524
153	0.871123701	0.4992307607	0.7029514382	0.765691995	0.5074969742	0.497060289	0.7031178568	0.7669681191	0.5088780875	0.6234302161	0.6239047619
154	0.8707001658	0.5008790196	0.7033488507	0.76580575	0.5080466787	0.4987054372	0.7035139092	0.7670807453	0.5094227336	0.624054828	0.6245238095
155	0.8703146155	0.5011222979	0.7033398545	0.765875814	0.5086815792	0.4989534536	0.7035037965	0.7671508176	0.5100604619	0.6242904862	0.6247619048
156	0.8697841179	0.5010799582	0.7050715391	0.7659310392	0.5102645563	0.4989050368	0.7052361772	0.7672059227	0.5116463475	0.6250509234	0.6255238095
157	0.8693071603	0.5024697806	0.7054719785	0.7662844196	0.5108712905	0.5002988643	0.7056348335	0.7675586812	0.5122507688	0.6258141859	0.6262857143
158	0.8689476525	0.5016209836	0.7054620059	0.7661292518	0.5107148327	0.4994519183	0.7056241427	0.7674036178	0.5120983737	0.6255253522	0.626
159	0.8683799046	0.5023709508	0.7058143247	0.7664933346	0.5115229772	0.5001992032	0.7059791552	0.7677690481	0.5129019452	0.6260986008	0.6265714286
160	0.8679162275	0.5033687342	0.7065072972	0.7667480546	0.5124181793	0.5011942675	0.7066678862	0.7680219278	0.5137978956	0.6267680608	0.6272380952
161	0.8675243103	0.5031167614	0.7053536418	0.766525674	0.5118571114	0.5009461209	0.7055164212	0.7677967651	0.5132374814	0.6261961201	0.6266666667
162	0.8670349976	0.5047598219	0.7063080061	0.7669782776	0.5130632015	0.5025896414	0.7064740307	0.7682470083	0.5144388211	0.6272935298	0.6277619048
163	0.8665045319	0.5036179915	0.7060066262	0.7662178554	0.512466254	0.5014426425	0.7061728395	0.7674865137	0.5138434058	0.6265321945	0.627
164	0.8661590405	0.5053098866	0.7055735434	0.7669927744	0.5123331461	0.503133393	0.7057425018	0.7682603529	0.5137013503	0.6270144659	0.6274761905
165	0.8653492268	0.5064032757	0.7057717615	0.7670615643	0.5130266863	0.5042267529	0.7059361566	0.7683305906	0.5143934882	0.6274932761	0.627952381
166	0.8649761882	0.5075963309	0.7058725863	0.7674688539	0.5130301799	0.50541588	0.7060331411	0.768738574	0.5143934882	0.6278794781	0.6283333333
167	0.8645113884	0.5062554692	0.706326486	0.7667212247	0.5127711176	0.5040714995	0.7064858923	0.767992684	0.5141383074	0.6273533266	0.6278095238
168	0.8641431142	0.5064042875	0.7069066964	0.7671143639	0.5134672981	0.5042217145	0.7070670084	0.7683863886	0.5148357646	0.6278274142	0.6282857143
169	0.8636654838	0.5080426384	0.70714421	0.7668920248	0.514800105	0.5058636454	0.7073036793	0.7681610247	0.5161674271	0.6285436572	0.629
170	0.8631370949	0.5077941789	0.7070498541	0.7670873553	0.5145573184	0.5056123969	0.7072076197	0.7683584819	0.5159241988	0.6284490948	0.6289047619
171	0.8626899594	0.507348593	0.7077668573	0.767689679	0.5152910236	0.5051730999	0.7079289507	0.7689636264	0.5166600555	0.628918011	0.6293809524
172	0.8622207395	0.5077957021	0.7078188325	0.7679448447	0.5152927716	0.5056213312	0.707982424	0.7692167078	0.5166600555	0.6291094765	0.6295714286
173	0.861778392	0.507846297	0.708509788	0.7677199581	0.5154756774	0.5056716418	0.7086729554	0.7689916811	0.5168450258	0.6292513427	0.6297142857
174	0.8614486372	0.5091389367	0.7083378889	0.7679462873	0.5159277753	0.5069637883	0.7085012825	0.7692167078	0.517292637	0.6296838532	0.6301428571
175	0.8609946178	0.5100350442	0.7083858487	0.7681330994	0.5154774342	0.5078638264	0.7085431737	0.7693995064	0.5168450258	0.6298764574	0.6303333333
